tx_id,timestamp,segment,day_type,items
1,2026-01-05T23:24:00,lunch,weekday,Chicken Rice
2,2026-01-04T15:11:00,morning,weekday,"Nuggets, Sisig Rice"
3,2026-01-13T04:51:00,lunch,weekday,"Iced Tea, Lumpia, Spaghetti"
4,2026-01-06T07:08:00,morning,weekend,"Coffee, Fries, Hotdog, Sundae"
5,2026-01-13T03:42:00,dinner,weekday,Fries
6,2026-01-01T17:31:00,dinner,weekday,"Soda, Spaghetti"
7,2026-01-04T04:15:00,dinner,weekday,"Nuggets, Sisig Rice, Water"
8,2026-01-03T11:52:00,morning,weekday,Hotdog
9,2026-01-03T14:33:00,morning,weekday,"Chicken Rice, Coffee"
10,2026-01-12T09:23:00,lunch,weekday,"Iced Tea, Sisig Rice"
11,2026-01-13T01:38:00,dinner,weekday,"Donut, Sisig Rice"
12,2026-01-02T13:47:00,dinner,weekday,Extra Sauce
13,2026-01-05T13:51:00,dinner,weekday,"Nuggets, Sisig Rice"
14,2026-01-06T05:40:00,dinner,weekday,"Extra Rice, Hotdog"
15,2026-01-13T23:51:00,lunch,weekday,"Burger, Fries, Iced Tea"
16,2026-01-02T09:06:00,lunch,weekday,"Chicken Rice, Extra Sauce, Nuggets, Soda"
17,2026-01-13T12:33:00,lunch,weekday,"Extra Rice, Iced Tea, Nuggets"
18,2026-01-04T17:54:00,morning,weekday,"Burger, Coffee, Fries"
19,2026-01-04T12:32:00,lunch,weekend,"Iced Tea, Sisig Rice"
20,2026-01-05T05:29:00,morning,weekday,Chicken Rice
21,2026-01-14T06:45:00,morning,weekday,"Coffee, Extra Rice"
22,2026-01-01T05:05:00,lunch,weekday,"Iced Tea, Nuggets, Sisig Rice"
23,2026-01-04T14:09:00,lunch,weekend,"Iced Tea, Lumpia"
24,2026-01-03T08:34:00,lunch,weekday,Spaghetti
25,2026-01-06T17:08:00,dinner,weekday,"Burger, Extra Sauce, Iced Tea"
26,2026-01-13T13:17:00,dinner,weekend,"Chicken Rice, Iced Tea"
27,2026-01-01T22:50:00,dinner,weekday,"Fries, Spaghetti"
28,2026-01-06T09:17:00,lunch,weekend,"Donut, Fries, Sisig Rice"
29,2026-01-07T01:42:00,dinner,weekend,"Lumpia, Sisig Rice, Water"
