tx_id,timestamp,segment,day_type,items
1001,2026-01-09T18:08:00,morning,weekend,"Coffee, Extra Rice"
1002,2026-01-14T02:20:00,dinner,weekday,"Fries, Hotdog, Soda"
1003,2026-01-13T04:52:00,morning,weekend,"Fries, Hotdog"
1004,2026-01-09T07:41:00,morning,weekday,"Lumpia, Soda"
1005,2026-01-01T22:59:00,morning,weekend,"Coffee, Lumpia, Sisig Rice, Sundae"
1006,2026-01-09T06:21:00,lunch,weekend,"Hotdog, Water"
1007,2026-01-03T23:42:00,lunch,weekday,"Chicken Rice, Iced Tea, Nuggets"
1008,2026-01-03T02:57:00,dinner,weekday,
1009,2026-01-14T23:38:00,morning,weekday,"Iced Tea, Lumpia, Spaghetti"
1010,2026-01-03T14:49:00,dinner,weekend,"Burger, Cheese Stick, Water"
1011,2026-01-13T23:41:00,dinner,weekend,"Cheese Stick, Chicken Rice, Soda"
1012,2026-01-13T16:05:00,dinner,weekend,"Cheese Stick, Hotdog, Iced Tea, Nuggets, Soda"
1013,2026-01-01T20:49:00,dinner,weekday,Sisig Rice
1014,2026-01-12T09:53:00,dinner,weekday,"Chicken Rice, Donut, Extra Sauce, Iced Tea"
1015,2026-01-01T22:11:00,morning,weekend,"Chicken Rice, Coffee"
1016,2026-01-10T19:25:00,lunch,weekday,"Donut, Iced Tea"
1017,2026-01-07T12:01:00,morning,weekend,"Cheese Stick, Coffee, Fries, Sisig Rice"
1018,2026-01-03T22:42:00,lunch,weekday,Sundae
1019,2026-01-07T03:29:00,lunch,weekday,"Burger, Extra Rice, Iced Tea"
1020,2026-01-12T04:11:00,dinner,weekday,"Extra Rice, Sisig Rice"
1021,2026-01-08T17:47:00,dinner,weekday,"Fries, Sisig Rice, Sundae"
1022,2026-01-03T10:58:00,morning,weekend,"Burger, Coffee"
1023,2026-01-10T09:56:00,lunch,weekend,"Burger, Extra Rice, Sundae, Water"
1024,2026-01-14T04:01:00,morning,weekday,"Extra Rice, Fries, Hotdog"
1025,2026-01-12T01:08:00,lunch,weekday,"Cheese Stick, Iced Tea, Sisig Rice"
1026,2026-01-04T10:32:00,lunch,weekday,
1027,2026-01-12T18:22:00,lunch,weekday,"Burger, Fries, Water"
1028,2026-01-10T21:41:00,morning,weekday,"Burger, Donut, Lumpia"
1029,2026-01-07T20:07:00,dinner,weekday,Chicken Rice
1030,2026-01-05T14:38:00,lunch,weekend,"Donut, Sisig Rice"
1031,2026-01-12T14:57:00,lunch,weekday,"Chicken Rice, Donut, Fries, Iced Tea"
1032,2026-01-12T09:22:00,dinner,weekday,"Nuggets, Soda, Sundae"
1033,2026-01-04T02:25:00,lunch,weekday,"Donut, Iced Tea, Sisig Rice"
1034,2026-01-09T02:08:00,lunch,weekday,Soda
1035,2026-01-06T04:01:00,morning,weekend,"Coffee, Donut, Extra Rice, Fries, Spaghetti"
1036,2026-01-07T21:13:00,dinner,weekend,"Iced Tea, Spaghetti, Sundae"
1037,2026-01-12T21:53:00,morning,weekday,Hotdog
1038,2026-01-06T19:20:00,lunch,weekend,"Chicken Rice, Extra Rice"
1039,2026-01-14T16:49:00,morning,weekday,"Cheese Stick, Coffee, Extra Rice, Lumpia"
1040,2026-01-11T17:33:00,lunch,weekday,"Fries, Iced Tea, Sundae"
1041,2026-01-04T04:02:00,dinner,weekday,"Burger, Cheese Stick, Iced Tea"
1042,2026-01-13T05:22:00,morning,weekend,"Coffee, Extra Rice"
1043,2026-01-14T08:09:00,morning,weekday,"Chicken Rice, Coffee, Fries"
1044,2026-01-06T17:49:00,dinner,weekday,Nuggets
1045,2026-01-08T23:57:00,lunch,weekday,"Extra Sauce, Water"
1046,2026-01-09T13:29:00,morning,weekend,"Burger, Sundae, Water"
1047,2026-01-14T00:46:00,lunch,weekend,"Sisig Rice, Soda"
1048,2026-01-12T02:59:00,dinner,weekday,"Chicken Rice, Donut, Extra Sauce"
1049,2026-01-06T00:10:00,lunch,weekday,"Chicken Rice, Donut, Extra Rice, Iced Tea"
1050,2026-01-03T14:47:00,dinner,weekend,"Cheese Stick, Chicken Rice, Iced Tea, Nuggets, Sundae"
