tx_id,timestamp,segment,day_type,items
1,2025-01-01T06:00:00Z,morning,weekday,"Spaghetti, Cheese Stick, Soda"
2,2025-01-01T06:15:00Z,morning,weekday,"Chicken Rice, Sisig Rice, Pasta, Iced Tea"
3,2025-01-01T06:30:00Z,morning,weekday,"Soda, Spaghetti, Cheese Stick"
4,2025-01-01T06:45:00Z,morning,weekday,"Burger, Soda, Fries"
5,2025-01-01T07:00:00Z,morning,weekday,"Soda, Burger, Fries, Spaghetti"
6,2025-01-01T07:15:00Z,morning,weekday,"Fries, Soda, Burger"
7,2025-01-01T07:30:00Z,morning,weekday,"Spaghetti, Sundae, Cheese Stick, Soda"
8,2025-01-01T07:45:00Z,morning,weekday,"Burger, Fries, Soda"
9,2025-01-01T08:00:00Z,morning,weekday,"Fries, Burger, Soda"
10,2025-01-01T08:15:00Z,morning,weekday,"Chicken Rice, Iced Tea"
11,2025-01-01T08:30:00Z,morning,weekday,"Fries, Soda, Burger"
12,2025-01-01T08:45:00Z,morning,weekday,"Brownie, Iced Tea, Chicken Rice"
13,2025-01-01T09:00:00Z,morning,weekday,"Soda, Cheese Stick, Spaghetti, Coffee"
14,2025-01-01T09:15:00Z,morning,weekday,"Water, Sisig Rice, Chicken Rice"
15,2025-01-01T09:30:00Z,morning,weekday,"Sisig Rice, Water"
16,2025-01-01T09:45:00Z,morning,weekday,"Cheese Stick, Spaghetti, Soda, Fish Fillet"
17,2025-01-01T10:00:00Z,morning,weekday,"Cheese Stick, Soda, Spaghetti, Sisig Rice, Nachos"
18,2025-01-01T10:15:00Z,morning,weekday,"Sundae, Water, Donut, Sisig Rice"
19,2025-01-01T10:30:00Z,morning,weekday,"Fish Fillet, Chicken Rice, Iced Tea"
20,2025-01-01T10:45:00Z,morning,weekday,"Chicken Rice, Iced Tea"
21,2025-01-01T11:00:00Z,lunch,weekday,"Soda, Burger, Fries"
22,2025-01-01T11:15:00Z,lunch,weekday,"Soda, Fries, Chicken Rice, Burger"
23,2025-01-01T11:30:00Z,lunch,weekday,"Fruit Juice, Water, Sisig Rice"
24,2025-01-01T11:45:00Z,lunch,weekday,"Fries, Burger, Soda"
25,2025-01-01T12:00:00Z,lunch,weekday,"Soda, Spaghetti, Cheese Stick"
26,2025-01-01T12:15:00Z,lunch,weekday,"Sisig Rice, Fish Fillet, Water"
27,2025-01-01T12:30:00Z,lunch,weekday,"Iced Tea, Chicken Rice"
28,2025-01-01T12:45:00Z,lunch,weekday,"Iced Tea, Fish Fillet, Chicken Rice"
29,2025-01-01T13:00:00Z,lunch,weekday,"Iced Tea, Chicken Rice, Cheese Stick"
