tx_id,timestamp,segment,day_type,items
1,2025-01-01T06:00:00Z,morning,weekday,"Iced Tea, Lumpia, Burger, Nuggets"
2,2025-01-01T06:15:00Z,morning,weekday,"Cheese Stick, Milk Tea, Spring Rolls"
3,2025-01-01T06:30:00Z,morning,weekday,"Extra Rice, Fried Chicken, Soda"
4,2025-01-01T06:45:00Z,morning,weekday,"Spring Rolls, Water, Milk Tea"
5,2025-01-01T07:00:00Z,morning,weekday,"Nuggets, Fish Fillet, Iced Tea, Burger"
6,2025-01-01T07:15:00Z,morning,weekday,"Burger, Iced Tea, Nuggets"
7,2025-01-01T07:30:00Z,morning,weekday,"Fried Chicken, Chicken Rice, Milk Tea, Brownie, Spring Rolls"
8,2025-01-01T07:45:00Z,morning,weekday,"Extra Rice, Soda, Fried Chicken"
9,2025-01-01T08:00:00Z,morning,weekday,"Fruit Juice, Fish Fillet, Spring Rolls, Extra Rice"
10,2025-01-01T08:15:00Z,morning,weekday,"Fish Fillet, Sisig Rice, Extra Rice, Fruit Juice"
11,2025-01-01T08:30:00Z,morning,weekday,"Brownie, Spaghetti, Coffee, Milk Tea, Spring Rolls"
12,2025-01-01T08:45:00Z,morning,weekday,"Pasta, Coffee, Brownie"
13,2025-01-01T09:00:00Z,morning,weekday,"Fried Chicken, Soda, Extra Rice"
14,2025-01-01T09:15:00Z,morning,weekday,"Soda, Fried Chicken, Extra Rice"
15,2025-01-01T09:30:00Z,morning,weekday,"Fried Chicken, Extra Rice, Soda, Salad"
16,2025-01-01T09:45:00Z,morning,weekday,"Fried Chicken, Extra Rice, Soda, Chicken Rice, Nuggets"
17,2025-01-01T10:00:00Z,morning,weekday,"Water, Milk Tea, Spring Rolls, Chicken Rice"
18,2025-01-01T10:15:00Z,morning,weekday,"Fried Chicken, Soda, Extra Rice"
19,2025-01-01T10:30:00Z,morning,weekday,"Coffee, Brownie, Pasta"
20,2025-01-01T10:45:00Z,morning,weekday,"Extra Rice, Soda, Fried Chicken"
21,2025-01-01T11:00:00Z,lunch,weekday,"Iced Tea, Milk Tea, Spring Rolls, Extra Rice"
22,2025-01-01T11:15:00Z,lunch,weekday,"Fried Chicken, Soda, Iced Tea, Extra Rice"
23,2025-01-01T11:30:00Z,lunch,weekday,"Lumpia, Spring Rolls, Nuggets, Milk Tea, Brownie"
24,2025-01-01T11:45:00Z,lunch,weekday,"Pasta, Spring Rolls, Iced Tea, Chicken Rice, Milk Tea"
25,2025-01-01T12:00:00Z,lunch,weekday,"Soda, Extra Rice, Fried Chicken"
26,2025-01-01T12:15:00Z,lunch,weekday,"Spring Rolls, Milk Tea"
27,2025-01-01T12:30:00Z,lunch,weekday,"Pasta, Coffee, Brownie, Spring Rolls"
28,2025-01-01T12:45:00Z,lunch,weekday,"Milk Tea, Spaghetti, Spring Rolls"
29,2025-01-01T13:00:00Z,lunch,weekday,"Pasta, Brownie, Coffee"
30,2025-01-01T13:15:00Z,lunch,weekday,"Coffee, Brownie, Pasta"
31,2025-01-01T13:30:00Z,lunch,weekday,"Spring Rolls, Milk Tea, Hotdog"
32,2025-01-01T13:45:00Z,lunch,weekday,"Pasta, Brownie, Coffee"
33,2025-01-01T14:00:00Z,lunch,weekday,"Burger, Iced Tea, Nuggets"
34,2025-01-01T14:15:00Z,lunch,weekday,"Fried Chicken, Soda, Milk Tea, Brownie, Extra Rice"
35,2025-01-01T14:30:00Z,lunch,weekday,"Fruit Juice, Sisig Rice, Spring Rolls, Milk Tea"
