tx_id,timestamp,segment,day_type,items
1,2025-01-01T06:00:00Z,morning,weekday,"Hotdog, Soda, Iced Tea, Sisig Rice, Fruit Juice"
2,2025-01-01T06:15:00Z,morning,weekday,"Fruit Juice, Soda, Hotdog"
3,2025-01-01T06:30:00Z,morning,weekday,"Pasta, Fries, Milk Tea, Cheese Stick"
4,2025-01-01T06:45:00Z,morning,weekday,"Hotdog, Soda, Burger"
5,2025-01-01T07:00:00Z,morning,weekday,"Spaghetti, Sisig Rice, Burger, Nachos, Soda"
6,2025-01-01T07:15:00Z,morning,weekday,"Cheese Stick, Spring Rolls, Milk Tea, Fries"
7,2025-01-01T07:30:00Z,morning,weekday,"Fries, Cheese Stick, Milk Tea"
8,2025-01-01T07:45:00Z,morning,weekday,"Lumpia, Nuggets, Brownie, Iced Tea"
9,2025-01-01T08:00:00Z,morning,weekday,"Chicken Rice, Extra Rice, Hotdog, Soda, Nuggets"
10,2025-01-01T08:15:00Z,morning,weekday,"Milk Tea, Cheese Stick, Fries"
11,2025-01-01T08:30:00Z,morning,weekday,"Nachos, Soda, Burger"
12,2025-01-01T08:45:00Z,morning,weekday,"Spring Rolls, Burger, Iced Tea, Lumpia"
13,2025-01-01T09:00:00Z,morning,weekday,"Soda, Fish Fillet, Hotdog"
14,2025-01-01T09:15:00Z,morning,weekday,"Nachos, Iced Tea, Burger, Soda"
15,2025-01-01T09:30:00Z,morning,weekday,"Coffee, Donut"
16,2025-01-01T09:45:00Z,morning,weekday,"Iced Tea, Milk Tea, Fries, Cheese Stick"
17,2025-01-01T10:00:00Z,morning,weekday,"Hotdog, Fish Fillet, Soda"
18,2025-01-01T10:15:00Z,morning,weekday,"Lumpia, Iced Tea"
19,2025-01-01T10:30:00Z,morning,weekday,"Burger, Soda, Nachos"
20,2025-01-01T10:45:00Z,morning,weekday,"Nachos, Burger, Soda"
21,2025-01-01T11:00:00Z,lunch,weekday,"Iced Tea, Lumpia, Extra Rice"
22,2025-01-01T11:15:00Z,lunch,weekday,"Burger, Water, Nachos, Soda"
