tx_id,timestamp,segment,day_type,items
401,2025-01-05T10:00:00Z,morning,weekend,"Hotdog, Spring Rolls, Burger, Salad, Water"
402,2025-01-05T10:15:00Z,morning,weekend,"Spaghetti, Pasta, Iced Tea"
403,2025-01-05T10:30:00Z,morning,weekend,"Chicken Rice, Fruit Juice, Salad"
404,2025-01-05T10:45:00Z,morning,weekend,"Salad, Donut, Lumpia, Water"
405,2025-01-05T11:00:00Z,lunch,weekend,"Fruit Juice, Pasta, Iced Tea"
406,2025-01-05T11:15:00Z,lunch,weekend,"Water, Brownie, Fish Fillet, Donut"
407,2025-01-05T11:30:00Z,lunch,weekend,"Salad, Burger, Water"
408,2025-01-05T11:45:00Z,lunch,weekend,"Iced Tea, Pasta"
409,2025-01-05T12:00:00Z,lunch,weekend,"Salad, Chicken Rice, Fruit Juice"
410,2025-01-05T12:15:00Z,lunch,weekend,"Spring Rolls, Pasta, Iced Tea"
411,2025-01-05T12:30:00Z,lunch,weekend,"Lumpia, Hotdog, Burger, Iced Tea, Pasta"
412,2025-01-05T12:45:00Z,lunch,weekend,"Pasta, Iced Tea, Soda"
413,2025-01-05T13:00:00Z,lunch,weekend,"Chicken Rice, Fruit Juice, Salad"
414,2025-01-05T13:15:00Z,lunch,weekend,"Chicken Rice, Iced Tea, Pasta"
415,2025-01-05T13:30:00Z,lunch,weekend,"Water, Brownie, Fish Fillet"
416,2025-01-05T13:45:00Z,lunch,weekend,"Water, Pasta, Iced Tea, Salad"
417,2025-01-05T14:00:00Z,lunch,weekend,"Chicken Rice, Salad, Fruit Juice"
418,2025-01-05T14:15:00Z,lunch,weekend,"Brownie, Fish Fillet, Water"
419,2025-01-05T14:30:00Z,lunch,weekend,"Milk Tea, Water, Salad, Sisig Rice, Fish Fillet"
420,2025-01-05T14:45:00Z,lunch,weekend,"Chicken Rice, Fruit Juice, Salad"
421,2025-01-05T15:00:00Z,lunch,weekend,"Salad, Iced Tea, Pasta"
422,2025-01-05T15:15:00Z,lunch,weekend,"Fish Fillet, Brownie, Water"
423,2025-01-05T15:30:00Z,lunch,weekend,"Donut, Salad, Extra Rice, Hotdog, Water"
424,2025-01-05T15:45:00Z,lunch,weekend,"Burger, Water, Salad"
