tx_id,timestamp,segment,day_type,items
1,2026-02-01T08:00:00,morning,weekend,"Burger, Chicken Rice, Iced Tea, Sundae, Water"
2,2026-02-01T08:17:00,morning,weekend,"Burger, Fries, Lumpia, Sisig Rice, Soda"
3,2026-02-01T08:34:00,morning,weekend,"Burger, Lumpia, Spaghetti"
4,2026-02-01T08:51:00,morning,weekend,"Donut, Spaghetti"
5,2026-02-01T09:08:00,morning,weekend,"Chicken Rice, Iced Tea, Sisig Rice, Sundae"
6,2026-02-01T09:25:00,morning,weekend,"Fries, Iced Tea, Sisig Rice, Soda"
7,2026-02-01T09:42:00,morning,weekend,"Extra Sauce, Fries, Spaghetti"
8,2026-02-01T09:59:00,morning,weekend,"Extra Rice, Lumpia"
9,2026-02-01T10:16:00,morning,weekend,"Cheese Stick, Chicken Rice, Iced Tea, Lumpia, Sundae"
10,2026-02-01T10:33:00,morning,weekend,"Extra Rice, Fries, Nuggets, Sisig Rice, Soda"
11,2026-02-01T10:50:00,morning,weekend,"Spaghetti, Sundae"
12,2026-02-01T11:07:00,lunch,weekend,"Chicken Rice, Fries, Nuggets, Spaghetti, Sundae"
13,2026-02-01T11:24:00,lunch,weekend,"Chicken Rice, Coffee, Donut, Nuggets"
14,2026-02-01T11:41:00,lunch,weekend,"Donut, Fries, Sisig Rice, Soda"
15,2026-02-01T11:58:00,lunch,weekend,"Cheese Stick, Coffee, Fries, Iced Tea, Nuggets"
16,2026-02-01T12:15:00,lunch,weekend,Spaghetti
17,2026-02-01T12:32:00,lunch,weekend,"Chicken Rice, Donut, Iced Tea"
18,2026-02-01T12:49:00,lunch,weekend,Fries
19,2026-02-01T13:06:00,lunch,weekend,Chicken Rice
20,2026-02-01T13:23:00,lunch,weekend,"Fries, Nuggets, Sisig Rice, Soda"
21,2026-02-01T13:40:00,lunch,weekend,"Burger, Coffee, Fries, Sundae"
22,2026-02-01T13:57:00,lunch,weekend,"Donut, Spaghetti"
23,2026-02-01T14:14:00,lunch,weekend,"Burger, Extra Rice"
24,2026-02-01T14:31:00,lunch,weekend,"Burger, Cheese Stick, Donut, Spaghetti"
25,2026-02-01T14:48:00,lunch,weekend,"Chicken Rice, Iced Tea, Sisig Rice, Soda"
26,2026-02-01T15:05:00,lunch,weekend,"Burger, Chicken Rice, Lumpia"
27,2026-02-01T15:22:00,lunch,weekend,"Burger, Iced Tea, Lumpia, Spaghetti"
