"tx_id","timestamp","segment","day_type","items"
"1","2026-03-01T15:30:00Z","lunch","weekend","Chicken Rice, Iced Tea, Milk Tea"
"2","2026-03-01T15:41:00Z","lunch","weekend","Fries, Soda, Nuggets, Donut"
"3","2026-03-01T15:52:00Z","lunch","weekend","Spaghetti, Coffee, Lumpia, Sundae, Pasta"
"4","2026-03-01T16:03:00Z","lunch","weekend","Iced Tea, Milk Tea"
"5","2026-03-01T16:14:00Z","lunch","weekend","Soda, Nuggets, Donut"
"6","2026-03-01T16:25:00Z","lunch","weekend","Coffee, Lumpia, Sundae, Pasta"
"7","2026-03-01T16:36:00Z","lunch","weekend","Milk Tea, Hash Brown, Salad, Sisig Rice, Brownie"
"8","2026-03-01T16:47:00Z","lunch","weekend","Nuggets, Donut"
"9","2026-03-01T16:58:00Z","lunch","weekend","Lumpia, Sundae, Pasta"
"10","2026-03-01T17:09:00Z","dinner","weekend","Hash Brown, Salad, Sisig Rice, Brownie"
"11","2026-03-01T17:20:00Z","dinner","weekend","Donut, Wrap, Hotdog, Burger, Spaghetti"
"12","2026-03-01T17:31:00Z","dinner","weekend","Sundae, Pasta"
"13","2026-03-01T17:42:00Z","dinner","weekend","Salad, Sisig Rice, Brownie"
"14","2026-03-01T17:53:00Z","dinner","weekend","Wrap, Hotdog, Burger, Spaghetti"
"15","2026-03-01T18:04:00Z","dinner","weekend","Pasta, Water, Chicken Rice, Iced Tea, Milk Tea"
"16","2026-03-01T18:15:00Z","dinner","weekend","Sisig Rice, Brownie"
"17","2026-03-01T18:26:00Z","dinner","weekend","Hotdog, Burger, Spaghetti"
"18","2026-03-01T18:37:00Z","dinner","weekend","Water, Chicken Rice, Iced Tea, Milk Tea"
"19","2026-03-01T18:48:00Z","dinner","weekend","Brownie, Fries, Soda, Nuggets, Donut"
"20","2026-03-01T18:59:00Z","dinner","weekend","Burger, Spaghetti"
"21","2026-03-01T19:10:00Z","dinner","weekend","Chicken Rice, Iced Tea, Milk Tea"
"22","2026-03-01T19:21:00Z","dinner","weekend","Fries, Soda, Nuggets, Donut"
"23","2026-03-01T19:32:00Z","dinner","weekend","Spaghetti, Coffee, Lumpia, Sundae, Pasta"
"24","2026-03-01T19:43:00Z","dinner","weekend","Iced Tea, Milk Tea"
"25","2026-03-01T19:54:00Z","dinner","weekend","Soda, Nuggets, Donut"
"26","2026-03-01T20:05:00Z","dinner","weekend","Coffee, Lumpia, Sundae, Pasta"
"27","2026-03-01T20:16:00Z","dinner","weekend","Milk Tea, Hash Brown, Salad, Sisig Rice, Brownie"
"28","2026-03-01T20:27:00Z","dinner","weekend","Nuggets, Donut"
"29","2026-03-01T20:38:00Z","dinner","weekend","Lumpia, Sundae, Pasta"
"30","2026-03-01T20:49:00Z","dinner","weekend","Hash Brown, Salad, Sisig Rice, Brownie"
"31","2026-03-01T21:00:00Z","dinner","weekend","Donut, Wrap, Hotdog, Burger, Spaghetti"
"32","2026-03-01T21:11:00Z","dinner","weekend","Sundae, Pasta"
"33","2026-03-01T21:22:00Z","dinner","weekend","Salad, Sisig Rice, Brownie"
"34","2026-03-01T21:33:00Z","dinner","weekend","Wrap, Hotdog, Burger, Spaghetti"
"35","2026-03-01T21:44:00Z","dinner","weekend","Pasta, Water, Chicken Rice, Iced Tea, Milk Tea"
"36","2026-03-01T21:55:00Z","dinner","weekend","Sisig Rice, Brownie"
"37","2026-03-01T22:06:00Z","dinner","weekend","Hotdog, Burger, Spaghetti"
"38","2026-03-01T22:17:00Z","dinner","weekend","Water, Chicken Rice, Iced Tea, Milk Tea"
"39","2026-03-01T22:28:00Z","dinner","weekend","Brownie, Fries, Soda, Nuggets, Donut"
"40","2026-03-01T22:39:00Z","dinner","weekend","Burger, Spaghetti"
"41","2026-03-01T22:50:00Z","dinner","weekend","Chicken Rice, Iced Tea, Milk Tea"
"42","2026-03-01T23:01:00Z","dinner","weekend","Fries, Soda, Nuggets, Donut"
