item,pop,impact,rank_score
Iced Tea,107,0.85,2.0
Sisig Rice,89,0.2975,0.9337903225806452
Extra Sauce,64,0.2975,0.6716935483870967
Chicken Rice,97,0.0,0.5451612903225806
Fries,92,0.0,0.49274193548387096
Hotdog,78,0.0,0.34596774193548385
Water,77,0.0,0.33548387096774196
Burger,73,0.0,0.2935483870967742
Nuggets,69,0.0,0.25161290322580643
Soda,68,0.0,0.24112903225806454
Spaghetti,61,0.0,0.16774193548387098
Extra Rice,56,0.0,0.1153225806451613
Coffee,56,0.0,0.1153225806451613
Lumpia,52,0.0,0.07338709677419356
Donut,52,0.0,0.07338709677419356
Sundae,45,0.0,0.0
