item,pop,impact,rank_score
Iced Tea,321,0.595,2.0
Chicken Rice,306,0.18,1.005984006505828
Fries,271,0.22499999999999998,0.9857730188849734
Sisig Rice,280,0.20825,0.9792204301075269
Nuggets,225,0.20825,0.787016129032258
Burger,254,0.0,0.41586021505376347
Water,232,0.0,0.3389784946236559
Hotdog,205,0.0,0.2446236559139785
Lumpia,156,0.063,0.21632827324478182
Soda,193,0.0,0.20268817204301076
Extra Rice,190,0.0,0.19220430107526884
Sundae,135,0.07874999999999999,0.17867647058823527
Spaghetti,172,0.0,0.1293010752688172
Extra Sauce,171,0.0,0.12580645161290321
Coffee,157,0.0,0.07688172043010753
Donut,145,0.0,0.03494623655913979
