item,pop,impact,rank_score
Iced Tea,142,0.85,2.0
Burger,106,0.2975,0.8812628865979382
Cheese Stick,73,0.2975,0.6601288659793814
Chicken Rice,104,0.0,0.395360824742268
Fries,99,0.0,0.36185567010309283
Donut,88,0.0,0.2881443298969072
Nuggets,84,0.0,0.261340206185567
Soda,81,0.0,0.24123711340206186
Sisig Rice,79,0.0,0.22783505154639175
Sundae,71,0.0,0.17422680412371133
Water,65,0.0,0.13402061855670103
Coffee,64,0.0,0.12731958762886597
Spaghetti,64,0.0,0.12731958762886597
Extra Rice,62,0.0,0.11391752577319587
Hotdog,59,0.0,0.09381443298969072
Lumpia,53,0.0,0.053608247422680416
Extra Sauce,45,0.0,0.0
