antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Cheese Stick, Soda",Spaghetti,0.2,0.21875,0.196875,0.9843749999999999,4.499999999999999,0.15312499999999998,49.999999999999645,0.6794871794871794,0.9453124999999996,0.664062218837987,0.0,141.0,1.0,0.6855067406069325,0.6855067406069325,0.6855067406069325,"('Cheese Stick', 'Soda')=>('Spaghetti',)"
"Fries, Milk Tea",Nuggets,0.15,0.171875,0.14375,0.9583333333333333,5.575757575757575,0.11796874999999998,19.874999999999964,0.46153846153846145,0.8541666666666664,0.9239867101482465,0.0,139.0,0.978021978021978,0.6773565676469516,0.6773565676469516,0.6773565676469516,"('Fries', 'Milk Tea')=>('Nuggets',)"
"Fries, Nuggets",Milk Tea,0.153125,0.159375,0.14375,0.9387755102040815,5.890356142456982,0.119345703125,13.730208333333293,0.46153846153846145,0.785714285714285,0.9999999999999998,0.0,139.0,0.978021978021978,0.6758241758241755,0.6758241758241755,0.6758241758241755,"('Fries', 'Nuggets')=>('Milk Tea',)"
"Fries, Soda",Burger,0.278125,0.2875,0.26875,0.9662921348314606,3.3610161211529066,0.1887890625,21.13749999999995,0.9743589743589742,0.8820224719101121,0.388860991357501,0.0,139.0,0.978021978021978,0.6544959820864015,0.6544959820864015,0.6544959820864015,"('Fries', 'Soda')=>('Burger',)"
Milk Tea,"Fries, Nuggets",0.159375,0.153125,0.14375,0.9019607843137255,5.890356142456983,0.119345703125,8.638125000000002,0.46153846153846145,0.6568627450980392,1.0,0.0,139.0,0.978021978021978,0.6371687136393018,0.6371687136393018,0.6371687136393018,"('Milk Tea',)=>('Fries', 'Nuggets')"
"Soda, Spaghetti",Cheese Stick,0.20625,0.23125,0.196875,0.9545454545454546,4.127764127764128,0.1491796875,16.912500000000016,0.6794871794871794,0.840909090909091,0.5741226061234742,0.0,141.0,1.0,0.6317008147010317,0.6317008147010317,0.6317008147010317,"('Soda', 'Spaghetti')=>('Cheese Stick',)"
Burger,"Fries, Soda",0.2875,0.278125,0.26875,0.9347826086956522,3.3610161211529066,0.1887890625,11.068750000000009,0.9743589743589742,0.7717391304347827,0.388860991357501,0.0,139.0,0.978021978021978,0.6214109796438027,0.6214109796438027,0.6214109796438027,"('Burger',)=>('Fries', 'Soda')"
"Burger, Soda",Fries,0.275,0.440625,0.26875,0.9772727272727272,2.2179239200515797,0.14757812499999998,24.6124999999999,0.9743589743589742,0.9204545454545451,0.11266711126072412,0.0,139.0,0.978021978021978,0.5969771341255372,0.5969771341255372,0.5969771341255372,"('Burger', 'Soda')=>('Fries',)"
Spaghetti,"Cheese Stick, Soda",0.21875,0.2,0.196875,0.9,4.5,0.15312499999999998,8.000000000000002,0.6794871794871794,0.65,0.6640622188379871,0.0,141.0,1.0,0.5969129906069326,0.5969129906069326,0.5969129906069326,"('Spaghetti',)=>('Cheese Stick', 'Soda')"
"Burger, Fries",Soda,0.275,0.49375,0.26875,0.9772727272727272,1.9792865362485612,0.13296874999999997,22.27499999999991,0.9743589743589742,0.9204545454545451,0.055007558597170485,0.0,139.0,0.978021978021978,0.5825622459596488,0.5825622459596488,0.5825622459596487,"('Burger', 'Fries')=>('Soda',)"
Sisig Rice,Water,0.171875,0.178125,0.159375,0.9272727272727272,5.205741626794258,0.128759765625,11.300781249999996,0.5256410256410255,0.7454545454545454,0.8345834751831165,0.0,84.0,0.37362637362637363,0.5747730749229851,0.5747730749229851,0.5747730749229851,"('Sisig Rice',)=>('Water',)"
"Cheese Stick, Spaghetti",Soda,0.196875,0.49375,0.196875,1.0,2.0253164556962022,0.09966796874999999,999.0,0.6794871794871794,1.0,0.06612930541736345,0.0,141.0,1.0,0.5524297622517768,0.5524297622517768,0.5524297622517766,"('Cheese Stick', 'Spaghetti')=>('Soda',)"
Nuggets,"Fries, Milk Tea",0.171875,0.15,0.14375,0.8363636363636363,5.575757575757575,0.11796874999999998,5.194444444444443,0.46153846153846145,0.427272727272727,0.9239867101482465,0.0,139.0,0.978021978021978,0.5492883858287698,0.5492883858287698,0.5492883858287698,"('Nuggets',)=>('Fries', 'Milk Tea')"
Water,Sisig Rice,0.178125,0.171875,0.159375,0.894736842105263,5.205741626794258,0.128759765625,7.867187499999992,0.5256410256410255,0.6315789473684207,0.8345834751831165,0.0,84.0,0.37362637362637363,0.5406103954971477,0.5406103954971477,0.5406103954971477,"('Water',)=>('Sisig Rice',)"
Milk Tea,Nuggets,0.159375,0.171875,0.14375,0.9019607843137255,5.24777183600713,0.11635742187499999,8.446875000000002,0.46153846153846145,0.6568627450980392,0.8447388122176953,0.0,86.0,0.3956043956043956,0.5401116584519674,0.5401116584519674,0.5401116584519674,"('Milk Tea',)=>('Nuggets',)"
Burger,Fries,0.2875,0.440625,0.275,0.9565217391304349,2.170829478877583,0.14832031250000002,12.86562500000004,1.0,0.8478260869565222,0.10128815475458783,0.0,91.0,0.45054945054945056,0.5247248098305487,0.5247248098305487,0.5247248098305486,"('Burger',)=>('Fries',)"
Cheese Stick,"Soda, Spaghetti",0.23125,0.20625,0.196875,0.8513513513513513,4.127764127764128,0.1491796875,5.339772727272726,0.6794871794871794,0.47972972972972955,0.5741226061234742,0.0,141.0,1.0,0.5233470063472233,0.5233470063472233,0.5233470063472233,"('Cheese Stick',)=>('Soda', 'Spaghetti')"
"Milk Tea, Nuggets",Fries,0.14375,0.440625,0.14375,1.0,2.269503546099291,0.08041015624999999,999.0,0.46153846153846145,1.0,0.12512977791030208,0.0,139.0,0.978021978021978,0.5213923345874656,0.5213923345874656,0.5213923345874656,"('Milk Tea', 'Nuggets')=>('Fries',)"
Spaghetti,Cheese Stick,0.21875,0.23125,0.196875,0.9,3.8918918918918917,0.14628906249999998,7.687500000000002,0.6794871794871794,0.65,0.5171311683637827,0.0,93.0,0.4725274725274725,0.5074329752411288,0.5074329752411288,0.5074329752411288,"('Spaghetti',)=>('Cheese Stick',)"
Burger,Soda,0.2875,0.49375,0.275,0.9565217391304349,1.93725921849202,0.13304687500000004,11.643750000000036,1.0,0.8478260869565222,0.0448529201961249,0.0,86.0,0.3956043956043956,0.5051214956964275,0.5051214956964275,0.5051214956964274,"('Burger',)=>('Soda',)"
"Brownie, Iced Tea",Chicken Rice,0.03125,0.2625,0.03125,1.0,3.8095238095238093,0.023046875,999.0,0.0,1.0,0.4972293964476998,0.0,113.0,0.6923076923076923,0.4935381183426941,0.4935381183426941,0.4935381183426941,"('Brownie', 'Iced Tea')=>('Chicken Rice',)"
"Brownie, Chicken Rice",Iced Tea,0.03125,0.265625,0.03125,1.0,3.764705882352941,0.02294921875,999.0,0.0,1.0,0.48640049114041956,0.0,113.0,0.6923076923076923,0.49083089201587415,0.49083089201587415,0.49083089201587415,"('Brownie', 'Chicken Rice')=>('Iced Tea',)"
