item,pop,impact,rank_score
Soda,400,6.170156012114962,1.9559855182966794
Fries,368,6.3781033554025575,1.944973544973545
Cheese Stick,177,3.2228208082362286,0.9486820220574321
Spaghetti,177,3.192255934471861,0.9422126098697252
Nuggets,141,3.4308103356581996,0.9308006706202697
Milk Tea,128,3.3526227057523554,0.8918968490401809
Iced Tea,209,2.5240029149819763,0.8557955156085713
Chicken Rice,204,2.555730937371073,0.8539132381773702
Burger,255,2.0605799405610172,0.8368071645816934
Water,136,1.0824974715815843,0.4251549673413047
Sisig Rice,130,1.0847993042410216,0.41532471676584526
Brownie,24,0.4932671839643635,0.1078449087626122
Nachos,38,0.1035012600935648,0.04942047694780391
Spring Rolls,37,0.10688835686775836,0.04841781878384892
Donut,27,0.11238812269492493,0.03238614120108334
Fried Chicken,22,0.10820352687647672,0.022902539069002588
Sundae,34,0.0,0.020634920634920634
Fruit Juice,32,0.0,0.017195767195767195
Fish Fillet,32,0.0,0.017195767195767195
Coffee,31,0.0,0.015476190476190477
Extra Rice,27,0.0,0.008597883597883597
Hotdog,27,0.0,0.008597883597883597
Pasta,26,0.0,0.0068783068783068784
Lumpia,23,0.0,0.0017195767195767196
Salad,22,0.0,0.0
