item,pop,impact,rank_score
Extra Rice,183,7.8393692869464555,2.0
Pasta,97,4.267067674744164,1.0672084073557038
Coffee,95,4.255529213205702,1.0578350314347091
Brownie,92,4.268741447181121,1.0490307348189338
Fish Fillet,110,3.8735059337401894,1.047445396433637
Fruit Juice,107,3.8581212865487102,1.033716495788862
Burger,76,4.024455630335766,0.9478719194118412
Iced Tea,74,4.050994091874228,0.9450556840301295
Fried Chicken,91,3.6736688460762252,0.942861450385037
Nuggets,67,4.03558766829774,0.9165503060507681
Soda,83,3.606916096113005,0.9018206562080635
Spring Rolls,90,3.1386668539362836,0.847036789240889
Milk Tea,88,3.1625984778679075,0.8437716362689456
Spaghetti,10,0.8004012018199425,0.14891482057752778
Chicken Rice,20,0.43055538288976997,0.12215632933775548
Cheese Stick,17,0.023333333333333317,0.04094999857962792
Lumpia,18,0.0,0.040625
Sisig Rice,14,0.0,0.025852272727272727
Fries,13,0.0,0.02215909090909091
Donut,13,0.0,0.02215909090909091
Hotdog,11,0.0,0.014772727272727274
Water,10,0.0,0.011079545454545455
Salad,8,0.0,0.0036931818181818185
Nachos,7,0.0,0.0
Sundae,7,0.0,0.0
