antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Extra Rice, Fish Fillet",Fruit Juice,0.23020833333333332,0.253125,0.22708333333333333,0.9864253393665159,3.8969889950282113,0.16881184895833334,55.01979166666686,0.9712918660287081,0.9683257918552037,0.6337788392771554,1.0,162.0,1.0,0.8932008205815916,0.8937113131039581,0.8933539683383014,"('Extra Rice', 'Fish Fillet')=>('Fruit Juice',)"
"Brownie, Coffee",Pasta,0.19479166666666667,0.22083333333333333,0.19166666666666668,0.983957219251337,4.455655332458885,0.14865017361111113,48.568055555555695,0.8086124401913876,0.9625668449197862,0.8197517020548566,1.0,142.0,0.7916666666666666,0.8845971336945941,0.9090163723437639,0.891922905289345,"('Brownie', 'Coffee')=>('Pasta',)"
"Brownie, Pasta",Coffee,0.19270833333333334,0.22395833333333334,0.19166666666666668,0.9945945945945946,4.44098051539912,0.1485080295138889,143.5677083333348,0.8086124401913876,0.9873873873873875,0.8148666435566219,1.0,142.0,0.7916666666666666,0.8908220318103159,0.8906495351656845,0.8907702828169264,"('Brownie', 'Pasta')=>('Coffee',)"
"Coffee, Pasta",Brownie,0.19375,0.21770833333333334,0.19166666666666668,0.989247311827957,4.543911097391573,0.14948567708333335,72.75312500000005,0.8086124401913876,0.974910394265233,0.8491309149436314,1.0,142.0,0.7916666666666666,0.8956450017204218,0.870620377300532,0.8881376143944548,"('Coffee', 'Pasta')=>('Brownie',)"
"Burger, Iced Tea",Nuggets,0.18020833333333333,0.19895833333333332,0.17916666666666667,0.9942196531791908,4.997124958387556,0.1433127170138889,138.58020833333472,0.7511961722488039,0.9865125240847785,1.0,1.0,117.0,0.53125,0.8993179916751943,0.8580146856858581,0.8869269998783935,"('Burger', 'Iced Tea')=>('Nuggets',)"
"Extra Rice, Fruit Juice",Fish Fillet,0.23333333333333334,0.24895833333333334,0.22708333333333333,0.9732142857142857,3.909145248057382,0.16899305555555555,28.03888888888887,0.9712918660287081,0.9375,0.6378255000924143,1.0,162.0,1.0,0.8849647482288452,0.8841399386571922,0.8847173053573492,"('Extra Rice', 'Fruit Juice')=>('Fish Fillet',)"
"Burger, Nuggets",Iced Tea,0.18020833333333333,0.20520833333333333,0.17916666666666667,0.9942196531791908,4.844928259147326,0.14218641493055556,137.4989583333347,0.7511961722488039,0.9865125240847785,0.9493356696714615,1.0,117.0,0.53125,0.8866519090930598,0.8670147598366224,0.8807607643161286,"('Burger', 'Nuggets')=>('Iced Tea',)"
"Iced Tea, Nuggets",Burger,0.17916666666666667,0.21354166666666666,0.17916666666666667,1.0,4.682926829268293,0.14090711805555556,999.0,0.7511961722488039,1.0,0.8954074701897388,1.0,117.0,0.53125,0.8772161019971954,0.8542301211761627,0.8703203077508855,"('Iced Tea', 'Nuggets')=>('Burger',)"
"Extra Rice, Fried Chicken",Soda,0.225,0.23229166666666667,0.21770833333333334,0.9675925925925926,4.165421026407573,0.16544270833333333,23.68928571428569,0.9282296650717703,0.9243827160493826,0.7231364217770112,1.0,136.0,0.7291666666666666,0.8666615199400883,0.8272880454625656,0.8548494775968315,"('Extra Rice', 'Fried Chicken')=>('Soda',)"
"Extra Rice, Soda",Fried Chicken,0.22395833333333334,0.23958333333333334,0.21770833333333334,0.9720930232558139,4.057431749241658,0.16405164930555555,27.24826388888886,0.9282296650717703,0.9348837209302325,0.6871881756088196,1.0,136.0,0.7291666666666666,0.8608247598622953,0.8246675952642629,0.8499776104828856,"('Extra Rice', 'Soda')=>('Fried Chicken',)"
Fish Fillet,"Extra Rice, Fruit Juice",0.24895833333333334,0.23333333333333334,0.22708333333333333,0.9121338912133891,3.909145248057382,0.16899305555555555,8.72539682539682,0.9712918660287081,0.7949790794979078,0.6378255000924143,1.0,162.0,1.0,0.8422084720782175,0.8600992066619148,0.8475756924533266,"('Fish Fillet',)=>('Extra Rice', 'Fruit Juice')"
Fruit Juice,"Extra Rice, Fish Fillet",0.253125,0.23020833333333332,0.22708333333333333,0.897119341563786,3.896988995028211,0.16881184895833334,7.482375000000002,0.9712918660287081,0.7599451303155007,0.6337788392771552,1.0,162.0,1.0,0.8306866221196807,0.8401270924465667,0.8335187632177465,"('Fruit Juice',)=>('Extra Rice', 'Fish Fillet')"
Soda,"Extra Rice, Fried Chicken",0.23229166666666667,0.225,0.21770833333333334,0.9372197309417041,4.165421026407573,0.16544270833333333,12.344642857142865,0.9282296650717703,0.8535127055306428,0.7231364217770112,1.0,136.0,0.7291666666666666,0.8454005167844664,0.7915655290361657,0.8292500204599761,"('Soda',)=>('Extra Rice', 'Fried Chicken')"
Nuggets,"Burger, Iced Tea",0.19895833333333332,0.18020833333333333,0.17916666666666667,0.9005235602094241,4.997124958387556,0.1433127170138889,8.241063596491234,0.7511961722488039,0.767888307155323,1.0,1.0,117.0,0.53125,0.8337307265963576,0.7924349755409306,0.8213420012797295,"('Nuggets',)=>('Burger', 'Iced Tea')"
Pasta,"Brownie, Coffee",0.22083333333333333,0.19479166666666667,0.19166666666666668,0.8679245283018869,4.455655332458885,0.14865017361111113,6.096577380952387,0.8086124401913876,0.6918238993710696,0.8197517020548566,1.0,142.0,0.7916666666666666,0.8033742500299792,0.8555056554184128,0.8190136716465093,"('Pasta',)=>('Brownie', 'Coffee')"
Brownie,"Coffee, Pasta",0.21770833333333334,0.19375,0.19166666666666668,0.8803827751196173,4.543911097391573,0.14948567708333335,6.740250000000002,0.8086124401913876,0.7208931419457737,0.8491309149436314,1.0,142.0,0.7916666666666666,0.8194398260245841,0.8140737969459021,0.8178300173009794,"('Brownie',)=>('Coffee', 'Pasta')"
Fried Chicken,"Extra Rice, Soda",0.23958333333333334,0.22395833333333334,0.21770833333333334,0.908695652173913,4.057431749241658,0.16405164930555555,8.499503968253965,0.9282296650717703,0.7869565217391303,0.6871881756088196,1.0,136.0,0.7291666666666666,0.8164466001049647,0.804065122645867,0.8127321568672353,"('Fried Chicken',)=>('Extra Rice', 'Soda')"
Iced Tea,"Burger, Nuggets",0.20520833333333333,0.18020833333333333,0.17916666666666667,0.8730964467005077,4.844928259147326,0.14218641493055556,6.459958333333337,0.7511961722488039,0.7038917089678512,0.9493356696714615,1.0,117.0,0.53125,0.8018656645579816,0.8358770581774742,0.8120690826438293,"('Iced Tea',)=>('Burger', 'Nuggets')"
Coffee,"Brownie, Pasta",0.22395833333333334,0.19270833333333334,0.19166666666666668,0.8558139534883721,4.4409805153991195,0.1485080295138889,5.598958333333333,0.8086124401913876,0.6635658914728683,0.8148666435566215,1.0,142.0,0.7916666666666666,0.7936755830359601,0.8141167656096591,0.7998079378080697,"('Coffee',)=>('Brownie', 'Pasta')"
Burger,"Iced Tea, Nuggets",0.21354166666666666,0.17916666666666667,0.17916666666666667,0.8390243902439025,4.682926829268293,0.14090711805555556,5.0991161616161635,0.7511961722488039,0.6243902439024392,0.8954074701897388,1.0,117.0,0.53125,0.7645331751679272,0.7834578826619887,0.7702105874161456,"('Burger',)=>('Iced Tea', 'Nuggets')"
Fish Fillet,Fruit Juice,0.24895833333333334,0.253125,0.22708333333333333,0.9121338912133891,3.603491915904747,0.16406575520833333,8.500148809523804,0.9712918660287081,0.7949790794979078,0.5360774236656278,1.0,111.0,0.46875,0.7636464529715209,0.7842338277747467,0.7698226654124886,"('Fish Fillet',)=>('Fruit Juice',)"
Soda,Fried Chicken,0.23229166666666667,0.23958333333333334,0.21770833333333334,0.9372197309417041,3.911873659582765,0.1620551215277778,12.112351190476197,0.9282296650717703,0.8535127055306428,0.6387337533165923,1.0,85.0,0.19791666666666666,0.7711748496693617,0.7280793947561686,0.7582462131954036,"('Soda',)=>('Fried Chicken',)"
Fruit Juice,Fish Fillet,0.253125,0.24895833333333334,0.22708333333333333,0.897119341563786,3.603491915904747,0.16406575520833333,7.300125000000001,0.9712918660287081,0.7599451303155007,0.5360774236656278,1.0,111.0,0.46875,0.7531362682167988,0.7675902440857085,0.7574724609774717,"('Fruit Juice',)=>('Fish Fillet',)"
