item,pop,impact,rank_score
Soda,397,5.136159457110845,2.0
Fries,183,4.97769902152628,1.5884030850576005
Cheese Stick,178,4.958756927834312,1.5747806844339667
Milk Tea,166,4.98009523105452,1.5596446124253325
Burger,212,3.847508730763826,1.3414742405899527
Nachos,214,3.8332096084200558,1.3411732730958537
Donut,176,0.97071197188044,0.5230963016248713
Coffee,167,0.9468405266907228,0.5012633652653272
Hotdog,218,0.5856975475013549,0.49450460513350336
Iced Tea,146,0.8886551256356394,0.44966658873829457
Lumpia,138,0.8793968528878622,0.43340333573788153
Extra Rice,41,0.08743532273852189,0.05755617001291262
Water,40,0.0,0.032845744680851066
Fried Chicken,39,0.0,0.031117021276595744
Salad,38,0.0,0.02938829787234043
Chicken Rice,36,0.0,0.02593085106382979
Brownie,36,0.0,0.02593085106382979
Sundae,35,0.0,0.02420212765957447
Pasta,34,0.0,0.02247340425531915
Spaghetti,33,0.0,0.02074468085106383
Fruit Juice,32,0.0,0.01901595744680851
Fish Fillet,32,0.0,0.01901595744680851
Nuggets,29,0.0,0.013829787234042554
Spring Rolls,27,0.0,0.010372340425531914
Sisig Rice,21,0.0,0.0
