antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Cheese Stick, Fries",Milk Tea,0.1875,0.20729166666666668,0.18541666666666667,0.9888888888888889,4.7705192629815745,0.14654947916666666,71.34375000000026,0.35344827586206906,0.9796296296296297,1.0,1.0,125.0,0.875,0.8520785440613027,0.8712460003764352,0.8578287809558424,"('Cheese Stick', 'Fries')=>('Milk Tea',)"
"Fries, Milk Tea",Cheese Stick,0.18645833333333334,0.21979166666666666,0.18541666666666667,0.9944134078212291,4.524345362598957,0.14443467881944444,139.65729166666821,0.35344827586206906,0.9897579143389202,0.9163244983539844,1.0,125.0,0.875,0.8341981540625859,0.8836088086315574,0.8490213504332773,"('Fries', 'Milk Tea')=>('Cheese Stick',)"
"Cheese Stick, Milk Tea",Fries,0.18541666666666667,0.23229166666666667,0.18541666666666667,1.0,4.304932735426009,0.1423459201388889,999.0,0.35344827586206906,1.0,0.8417452614095668,1.0,125.0,0.875,0.8186259705248055,0.8367822104765036,0.8240728425103149,"('Cheese Stick', 'Milk Tea')=>('Fries',)"
Milk Tea,"Cheese Stick, Fries",0.20729166666666668,0.1875,0.18541666666666667,0.8944723618090452,4.7705192629815745,0.14654947916666666,7.699404761904761,0.35344827586206906,0.806532663316583,1.0,1.0,125.0,0.875,0.8001494541673887,0.807991341991342,0.8025020205145746,"('Milk Tea',)=>('Cheese Stick', 'Fries')"
"Burger, Soda",Nachos,0.24583333333333332,0.26666666666666666,0.22916666666666666,0.9322033898305084,3.4957627118644066,0.1636111111111111,10.816666666666661,0.7155172413793103,0.8757062146892656,0.5667051067335421,1.0,132.0,1.0,0.7974915893660273,0.7932531579433212,0.7962200599392154,"('Burger', 'Soda')=>('Nachos',)"
"Nachos, Soda",Burger,0.24583333333333332,0.26666666666666666,0.22916666666666666,0.9322033898305084,3.4957627118644066,0.1636111111111111,10.816666666666661,0.7155172413793103,0.8757062146892656,0.5667051067335421,1.0,132.0,1.0,0.7974915893660273,0.7914432717643205,0.7956770940855152,"('Nachos', 'Soda')=>('Burger',)"
Burger,"Nachos, Soda",0.26666666666666666,0.24583333333333332,0.22916666666666666,0.859375,3.495762711864407,0.1636111111111111,5.362962962962963,0.7155172413793103,0.7421875000000001,0.5667051067335422,1.0,132.0,1.0,0.7574359749592476,0.740590773746874,0.7523824145955355,"('Burger',)=>('Nachos', 'Soda')"
Cheese Stick,"Fries, Milk Tea",0.21979166666666666,0.18645833333333334,0.18541666666666667,0.8436018957345972,4.524345362598957,0.14443467881944444,5.201736111111113,0.35344827586206906,0.713270142180095,0.9163244983539844,1.0,125.0,0.875,0.7512518224149384,0.751287380060129,0.7512624897084955,"('Cheese Stick',)=>('Fries', 'Milk Tea')"
Nachos,"Burger, Soda",0.26666666666666666,0.24583333333333332,0.22916666666666666,0.859375,3.495762711864407,0.1636111111111111,5.362962962962963,0.7155172413793103,0.7421875000000001,0.5667051067335422,1.0,132.0,1.0,0.7574359749592476,0.7084317293718925,0.742734701283041,"('Nachos',)=>('Burger', 'Soda')"
"Burger, Nachos",Soda,0.22916666666666666,0.5041666666666667,0.22916666666666666,1.0,1.9834710743801653,0.11362847222222222,999.0,0.7155172413793103,1.0,0.052671079548328587,1.0,132.0,1.0,0.7062712181629441,0.7455818660217141,0.7180644125205751,"('Burger', 'Nachos')=>('Soda',)"
Milk Tea,Cheese Stick,0.20729166666666668,0.21979166666666666,0.18541666666666667,0.8944723618090452,4.069637285955846,0.1398556857638889,7.393402777777777,0.35344827586206906,0.806532663316583,0.7617673891053148,1.0,87.0,0.19642857142857142,0.6727341585865746,0.705639144567609,0.6826056543808849,"('Milk Tea',)=>('Cheese Stick',)"
Fries,"Cheese Stick, Milk Tea",0.23229166666666667,0.18541666666666667,0.18541666666666667,0.7982062780269058,4.304932735426009,0.1423459201388889,4.036712962962962,0.35344827586206906,0.6300448430493274,0.8417452614095668,1.0,125.0,0.875,0.7076394234396037,0.6028916329689049,0.676215086298394,"('Fries',)=>('Cheese Stick', 'Milk Tea')"
Hotdog,Soda,0.2791666666666667,0.5041666666666667,0.2635416666666667,0.9440298507462687,1.8724559023066487,0.1227951388888889,8.85888888888889,1.0,0.8973880597014926,0.014936574797287234,1.0,97.0,0.375,0.6604505616097696,0.6966344745251339,0.6713057354843789,"('Hotdog',)=>('Soda',)"
Lumpia,Iced Tea,0.16875,0.18020833333333333,0.14270833333333333,0.8456790123456789,4.692785270819952,0.11229817708333333,5.312249999999996,0.0,0.7170781893004113,0.9735779025357211,1.0,99.0,0.4107142857142857,0.6495893609954823,0.6998099229377549,0.664655529578164,"('Lumpia',)=>('Iced Tea',)"
Coffee,Donut,0.209375,0.21770833333333334,0.1875,0.8955223880597015,4.1134042705134615,0.14191731770833332,7.487648809523812,0.3706896551724138,0.8084577114427862,0.7766439636840978,1.0,84.0,0.14285714285714285,0.6751219496740574,0.6346502365187953,0.6629804357274787,"('Coffee',)=>('Donut',)"
Milk Tea,Fries,0.20729166666666668,0.23229166666666667,0.18645833333333334,0.8994974874371859,3.872276179101787,0.13830620659722223,7.6386979166666675,0.36206896551724144,0.815745393634841,0.6946835528588288,1.0,87.0,0.19642857142857142,0.660451156551465,0.6638073835490943,0.6614580246507538,"('Milk Tea',)=>('Fries',)"
Burger,Nachos,0.26666666666666666,0.26666666666666666,0.22916666666666666,0.859375,3.22265625,0.15805555555555556,5.214814814814815,0.7155172413793103,0.7421875000000001,0.47387511881136873,1.0,89.0,0.23214285714285715,0.65744276369299,0.6525838610969987,0.6559850929141926,"('Burger',)=>('Nachos',)"
Donut,Coffee,0.21770833333333334,0.209375,0.1875,0.8612440191387559,4.113404270513461,0.14191731770833332,5.6979525862068945,0.3706896551724138,0.7456140350877193,0.7766439636840975,1.0,84.0,0.14285714285714285,0.6562688467675372,0.6425208142169591,0.6521444370023637,"('Donut',)=>('Coffee',)"
Cheese Stick,Milk Tea,0.21979166666666666,0.20729166666666668,0.18541666666666667,0.8436018957345972,4.069637285955846,0.1398556857638889,5.068529040404042,0.35344827586206906,0.713270142180095,0.7617673891053148,1.0,87.0,0.19642857142857142,0.6447554022456282,0.6601748588533233,0.6493812392279367,"('Cheese Stick',)=>('Milk Tea',)"
Nachos,Burger,0.26666666666666666,0.26666666666666666,0.22916666666666666,0.859375,3.22265625,0.15805555555555556,5.214814814814815,0.7155172413793103,0.7421875000000001,0.47387511881136873,1.0,89.0,0.23214285714285715,0.65744276369299,0.6264849599980976,0.6481554225845223,"('Nachos',)=>('Burger',)"
Burger,Soda,0.26666666666666666,0.5041666666666667,0.24583333333333332,0.921875,1.828512396694215,0.11138888888888887,6.346666666666667,0.8534482758620688,0.8567708333333334,0.0,1.0,96.0,0.35714285714285715,0.6134351908866995,0.6311856522369604,0.6187603292917778,"('Burger',)=>('Soda',)"
Iced Tea,Lumpia,0.18020833333333333,0.16875,0.14270833333333333,0.791907514450867,4.692785270819953,0.11229817708333333,3.9946180555555557,0.0,0.6184971098265897,0.9735779025357214,1.0,99.0,0.4107142857142857,0.6200150371533358,0.5964582745861066,0.6129480083831671,"('Iced Tea',)=>('Lumpia',)"
Cheese Stick,Fries,0.21979166666666666,0.23229166666666667,0.1875,0.8530805687203792,3.6724544662401972,0.13644422743055556,5.225369623655915,0.3706896551724138,0.7306477093206952,0.6267633467058931,1.0,76.0,0.0,0.6000230805071646,0.6177831733979656,0.6053511083744049,"('Cheese Stick',)=>('Fries',)"
Nachos,Soda,0.26666666666666666,0.5041666666666667,0.24583333333333332,0.921875,1.828512396694215,0.11138888888888887,6.346666666666667,0.8534482758620688,0.8567708333333334,0.0,1.0,79.0,0.05357142857142857,0.5830780480295567,0.5841431082073897,0.5833975660829065,"('Nachos',)=>('Soda',)"
Fries,Milk Tea,0.23229166666666667,0.20729166666666668,0.18645833333333334,0.8026905829596412,3.8722761791017866,0.13830620659722223,4.017589962121212,0.36206896551724144,0.6382660687593423,0.6946835528588288,1.0,87.0,0.19642857142857142,0.6072073590888154,0.5167739488986384,0.5800773360317623,"('Fries',)=>('Milk Tea',)"
