item,pop,impact,rank_score
Salad,248,5.9046688394754705,2.0
Water,239,5.489259074227706,1.8807499115339652
Fruit Juice,104,3.113517145007883,0.9734698885772881
Chicken Rice,101,3.0522472597077908,0.9513703069019758
Fish Fillet,104,2.742620668593068,0.888670849584192
Brownie,96,2.669713096942876,0.8504250358262017
Iced Tea,87,0.8597347672472573,0.4123310607364002
Pasta,84,0.8157379904543482,0.3941806753866803
Burger,69,0.8006874952753689,0.35028320946929825
Fries,19,0.36477478955637044,0.11576456681962978
Cheese Stick,21,0.0,0.03775933609958507
Sisig Rice,20,0.0,0.035062240663900415
Nachos,15,0.04358926150453147,0.03154269123365296
Sundae,15,0.027176470588235295,0.027790191586446984
Spring Rolls,15,0.026616086099651243,0.02766206940378861
Lumpia,15,0.0,0.021576763485477178
Soda,14,0.0,0.018879668049792533
Coffee,14,0.0,0.018879668049792533
Extra Rice,14,0.0,0.018879668049792533
Spaghetti,13,0.0,0.016182572614107882
Fried Chicken,12,0.0,0.013485477178423237
Milk Tea,9,0.0,0.0053941908713692945
Nuggets,8,0.0,0.0026970954356846473
Hotdog,7,0.0,0.0
Donut,7,0.0,0.0
