antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Fruit Juice, Salad",Chicken Rice,0.23958333333333334,0.25833333333333336,0.225,0.9391304347826087,3.635343618513324,0.16310763888888888,12.184523809523814,0.9207920792079208,0.8092753623188407,0.7516856042687047,1.0,138.0,1.0,0.8648624256044125,0.832520349115769,0.8551598026578193,"('Fruit Juice', 'Salad')=>('Chicken Rice',)"
"Chicken Rice, Salad",Fruit Juice,0.24166666666666667,0.2552083333333333,0.225,0.9310344827586207,3.648135116115412,0.1633246527777778,10.799479166666664,0.9207920792079208,0.7839080459770115,0.7555070126158813,1.0,138.0,1.0,0.8582075827886579,0.7799972888253096,0.8347444945996534,"('Chicken Rice', 'Salad')=>('Fruit Juice',)"
Fruit Juice,"Chicken Rice, Salad",0.2552083333333333,0.24166666666666667,0.225,0.8816326530612246,3.6481351161154123,0.1633246527777778,6.406609195402306,0.9207920792079208,0.6291156462585038,0.7555070126158815,1.0,138.0,1.0,0.8117698628731057,0.8100543401715212,0.8112552060626304,"('Fruit Juice',)=>('Chicken Rice', 'Salad')"
"Brownie, Water",Fish Fillet,0.23020833333333332,0.25625,0.21145833333333333,0.9185520361990951,3.584593311996469,0.15246744791666667,9.13159722222223,0.8564356435643564,0.744796380090498,0.7365241547669963,1.0,113.0,0.7058823529411765,0.7994453167258874,0.7792869257667158,0.7933977994381358,"('Brownie', 'Water')=>('Fish Fillet',)"
"Fish Fillet, Water",Brownie,0.23125,0.24270833333333333,0.21145833333333333,0.9144144144144144,3.7675443684027377,0.15533203125,8.848355263157893,0.8564356435643564,0.7318318318318318,0.7911800454081027,1.0,113.0,0.7058823529411765,0.8092199249085642,0.7562351572304281,0.7933244946051232,"('Fish Fillet', 'Water')=>('Brownie',)"
Chicken Rice,"Fruit Juice, Salad",0.25833333333333336,0.23958333333333334,0.225,0.8709677419354838,3.6353436185133234,0.16310763888888888,5.893229166666662,0.9207920792079208,0.5956989247311825,0.7516856042687046,1.0,138.0,1.0,0.8007894943281151,0.7393995108862351,0.782372499295551,"('Chicken Rice',)=>('Fruit Juice', 'Salad')"
Brownie,"Fish Fillet, Water",0.24270833333333333,0.23125,0.21145833333333333,0.871244635193133,3.767544368402737,0.15533203125,5.970624999999998,0.8564356435643564,0.5965665236051501,0.7911800454081026,1.0,113.0,0.7058823529411765,0.7686403324405596,0.7768199525520654,0.7710942184740114,"('Brownie',)=>('Fish Fillet', 'Water')"
Fruit Juice,Chicken Rice,0.2552083333333333,0.25833333333333336,0.225,0.8816326530612246,3.4127715602369983,0.15907118055555555,6.265804597701157,0.9207920792079208,0.6291156462585038,0.685193099027833,1.0,118.0,0.7647058823529411,0.7706619727113877,0.7679539208286912,0.7698495571465787,"('Fruit Juice',)=>('Chicken Rice',)"
Pasta,Iced Tea,0.20104166666666667,0.20416666666666666,0.18333333333333332,0.9119170984455958,4.4665327270804696,0.14228732638888889,9.035049019607834,0.7227722772277227,0.7240069084628667,1.0,1.0,53.0,0.0,0.7617565279844046,0.7324252430746653,0.7529571425114827,"('Pasta',)=>('Iced Tea',)"
"Chicken Rice, Fruit Juice",Salad,0.225,0.6229166666666667,0.225,1.0,1.605351170568562,0.08484375,999.0,0.9207920792079208,1.0,0.1452335431734216,1.0,138.0,1.0,0.7704668016349395,0.7004756177563962,0.7494694464713765,"('Chicken Rice', 'Fruit Juice')=>('Salad',)"
